Código,Nome,Unidade,Quantidade,Total custo,Total venda,Valor lucro,%Lucro
1515,CARDIGA LA ONÇA,UN,1,"29,90","59,85","29,95","50,04%"
001520,REG LUREX,UN,1,"40,90","84,00","43,10","51,30%"
1521,SAIA ROSA SOCIAL,UN,1,"0,00","89,00","89,00","100,00%"
1522,TRICOT LINHA RECORTES,UN,1,"79,90","171,75","91,85","53,47%"
01530,BRINCO,UN,1,"15,00","32,00","17,00","53,12%"
1531,CALÇA CONFY COM ELASTANO,UN,1,"39,90","89,90","50,00","55,61%"
1534,SAIA,UN,1,"0,00","81,90","81,90","100,00%"
1536,JAQUETA METELASSE,UN,4,"284,00","506,61","222,61","43,94%"
1538,CALÇA DETAILS,UN,1,"49,90","94,90","45,00","47,41%"
01539,REGATA VISCO,UN,1,"28,80","53,86","25,06","46,52%"
1539,BLUSA DE BICHO,UN,1,"0,00","96,66","96,66","100,00%"
1544,CIGANINHA FLORAL COM ELASTICO COM,UN,1,"30,00","89,90","59,90","66,62%"
1550,CALÇA CONFY COPLORS,UN,5,"199,60","435,51","235,91","54,16%"
1551,MOLETOM COLORS,UN,3,"149,70","294,19","144,49","49,11%"
1554,MOLETOM CONFY LOVE,UN,1,"49,90","94,90","45,00","47,41%"
1559,MOLETOM BUFANTE,UN,5,"29,90","448,90","419,00","93,33%"
1560,SHORT CORDA FLORAL AZUL BEBE,UN,1,"45,00","135,00","90,00","66,66%"
1568,BLUSA,UN,2,"0,00","168,00","168,00","100,00%"
1570,CALÇA MOLETOM PRETA,UN,2,"99,80","193,90","94,10","48,53%"
1571,CALÇA MOLETOM,UN,5,"249,50","489,51","240,01","49,03%"
1572,CALÇA CINZA COM DETALHE,UN,1,"49,90","99,90","50,00","50,05%"
001574,BASICAS (CAROL),UN,8,"0,00","212,40","212,40","100,00%"
1592,BLUSA LISTRADA,UN,2,"0,00","209,35","209,35","100,00%"
001599,BLUSA LINHO,UN,23,"179,70","2.873,29","2.693,59","93,74%"
01599,BLUSA,UN,3,"0,00","367,00","367,00","100,00%"
1602,CROPPED ROSA FIVELA,UN,1,"25,00","49,95","24,95","49,94%"
1615,CAMISETE IARA,UN,1,"0,00","99,00","99,00","100,00%"
1620,SAIA ROSA PEPLUM,UN,1,"30,00","46,50","16,50","35,48%"
001620,BRINCO,UN,1,"20,00","40,00","20,00","50,00%"
1633,CAMISETE RENATA,UN,1,"0,00","99,00","99,00","100,00%"
01644,BLUSA SEDA,UN,2,"75,60","158,40","82,80","52,27%"
1649,BLAZER SARJA,UN,2,"99,80","209,32","109,52","52,32%"
1655,BLUSA PEDRARIAS,UN,1,"48,00","96,18","48,18","50,09%"
1656,BLUSA LISTRAS,UN,1,"20,00","47,40","27,40","57,80%"
1660,BLUSA CANELADA PRETA,UN,1,"15,90","29,90","14,00","46,82%"
1664,VESTIDO PRETO PLUS SIZE,UN,1,"45,00","135,00","90,00","66,66%"
1666,BLUSA COM GOLA DOURADA,UN,1,"22,00","33,00","11,00","33,33%"
01669,REGATA DE CHIFFON,UN,3,"141,00","278,40","137,40","49,35%"
01672,REGATA ESTAMPADA,UN,2,"75,60","142,56","66,96","46,96%"
01673,REGATA ESTAMP,UN,2,"75,60","159,00","83,40","52,45%"
1674,SHORT,UN,2,"95,80","194,18","98,38","50,66%"
1678,BLUSA BORDADA,UN,2,"99,80","199,80","100,00","50,05%"
01681,BLUSA COM ESTAMPA,UN,1,"50,40","96,66","46,26","47,85%"
1682,CONJUNTO,UN,1,"99,90","199,80","99,90","50,00%"
1683,BLUSA,UN,3,"129,70","273,70","144,00","52,61%"
1685,JAQUETA BOMBER NEOPREME,UN,1,"49,90","96,66","46,76","48,37%"
1687,VESTIDO,UN,1,"0,00","153,00","153,00","100,00%"
1689,SHORT,UN,1,"57,50","30,00","-27,50","-91,66%"
1690,PIERCING FAKE,UN,1,"7,50","16,90","9,40","55,62%"
1692,BLUSAS,UN,6,"291,40","593,41","302,01","50,89%"
1693,BLUSA,UN,4,"199,60","393,70","194,10","49,30%"
01693,CONJUNTO,UN,1,"119,90","239,80","119,90","50,00%"
1697,LEGGING CIRRIE,UN,2,"119,80","269,75","149,95","55,58%"
001699,BLUSA CHIFFON,UN,4,"139,80","497,90","358,10","71,92%"
1700,BLAZER,UN,3,"359,70","719,41","359,71","50,00%"
1701,MOLETOM,UN,3,"114,90","436,90","322,00","73,70%"
1704,CONJUNTO,UN,1,"149,90","283,19","133,29","47,06%"
01704,REGATA DE SEDA,UN,1,"35,91","77,40","41,49","53,60%"
1708,CONJUNTO,UN,1,"119,90","239,80","119,90","50,00%"
1709,CIGANINHA COM ALCINHA OFF BAMBU,UN,3,"120,00","239,40","119,40","49,87%"
1712,BLUSA,UN,1,"49,90","99,85","49,95","50,02%"
1717,CAMISA PLUS AMARRAR COM ESTAMP. CORRENTES,UN,2,"137,90","313,86","175,96","56,06%"
1721,COLETE JEANS PRETO,UN,1,"35,00","67,50","32,50","48,14%"
1722,BLUSAS,UN,3,"149,70","279,90","130,20","46,51%"
1729,BLUSA RENDA,UN,3,"75,00","225,00","150,00","66,66%"
1731,CONJUNTO,UN,1,"159,90","299,77","139,87","46,65%"
1736,BLUSA TULE,UN,1,"59,90","110,00","50,10","45,54%"
1742,BLUSA RENDA ROSA,UN,1,"59,92","69,90","9,98","14,27%"
1743,CASACO,UN,1,"159,90","299,80","139,90","46,66%"
1746,CALÇA MONTARIA,UN,2,"159,80","299,70","139,90","46,68%"
1747,SHORT LINHO AMARELO,UN,1,"45,00","128,25","83,25","64,91%"
1749,BLUSA POMPOM,UN,1,"49,90","99,90","50,00","50,05%"
1755,CAMISA,UN,3,"0,00","250,88","250,88","100,00%"
1763,CIGANINHA VERDE CHIFON ESTAMP CORRENTE,UN,1,"49,00","149,85","100,85","67,30%"
1774,BLUSACANELADA MG FRANZIDA,UN,1,"15,90","33,00","17,10","51,81%"
1795,BODY ESTAMPADO,UN,1,"0,00","168,00","168,00","100,00%"
1797,CAMISA SEGREDO DE MARIA,UN,1,"75,60","149,85","74,25","49,54%"
001799,BLUSA ROSA COM FURO,UN,2,"159,80","319,50","159,70","49,98%"
1801,SHORT MOLETINHO,UN,2,"119,80","233,80","114,00","48,75%"
0001802,BERMUDA,UN,1,"0,00","159,90","159,90","100,00%"
